日期,白天天气,夜晚天气,最高温,最低温,白天风力,夜晚风力
2022年03月26日,晴,多云,12.0,5.0,西北风 4-5级,西北风 4-5级
2022年03月27日,晴,晴,10.0,5.0,西北风 4-5级,西北风 4-5级
2022年03月28日,晴,多云,12.0,6.0,南风 4-5级,南风 4-5级
2022年03月29日,多云,小雨,12.0,6.0,南风 4-5级,南风 4-5级
2022年03月30日,多云,晴,10.0,4.0,北风 4-5级,北风 4-5级
2022年03月31日,晴,晴,11.0,4.0,西北风 4-5级,西北风 4-5级
2022年04月01日,晴,多云,11.0,4.0,西北风 3-4级,西北风 3-4级
2022年04月02日,晴,晴,13.0,6.0,西风 1-2级,西风 1-2级
2022年04月03日,晴,晴,14.0,8.0,西南风 4-5级,西南风 4-5级
2022年04月04日,多云,晴,16.0,9.0,南风 3-4级,南风 3-4级
2022年04月05日,晴,晴,17.0,5.0,北风 3-4级,北风 3-4级
2022年04月06日,阵雨,晴,9.0,5.0,东北风 4-5级,东北风 4-5级
2022年04月07日,晴,晴,14.0,7.0,西风 4-5级,西风 4-5级
2022年04月08日,晴,多云,17.0,11.0,南风 4-5级,南风 4-5级
2022年04月09日,晴,晴,18.0,9.0,南风 4-5级,南风 4-5级
2022年04月10日,晴,晴,20.0,11.0,南风 4-5级,南风 4-5级
2022年04月11日,多云,小到中雨,20.0,9.0,北风 5-6级,北风 5-6级
2022年04月12日,阵雨,多云,15.0,8.0,北风 4-5级,北风 4-5级
2022年04月13日,晴,多云,14.0,8.0,东北风 4-5级,东北风 4-5级
2022年04月14日,多云,晴,12.0,8.0,东北风 4-5级,东北风 4-5级
2022年04月15日,晴,晴,16.0,8.0,北风 4-5级,北风 4-5级
2022年04月16日,晴,晴,17.0,10.0,西风 3-4级,西风 3-4级
2022年04月17日,多云,多云,17.0,11.0,西风 4-5级,西风 4-5级
2022年04月18日,多云,晴,20.0,9.0,北风 4-5级,北风 4-5级
2022年04月19日,晴,晴,19.0,12.0,西南风 4-5级,西南风 4-5级
2022年04月20日,晴,晴,21.0,13.0,南风 4-5级,南风 4-5级
,,,,,,
2022年04月21日,多云,阵雨,20.0,11.0,南风 4-5级,南风 4-5级
2022年04月22日,晴,晴,17.0,10.0,北风 3-4级,北风 3-4级
2022年04月23日,晴,多云,19.0,12.0,南风 4-5级,南风 4-5级
2022年04月24日,多云,多云,20.0,10.0,东风 3-4级,东风 3-4级
2022年04月25日,多云,阵雨,17.0,11.0,南风 4-5级,南风 4-5级
2022年04月26日,雷阵雨,晴,21.0,11.0,北风 4-5级,北风 4-5级
2022年04月27日,晴,阴,17.0,11.0,北风 3-4级,北风 3-4级
2022年04月28日,阵雨,多云,15.0,9.0,北风 4-5级,北风 4-5级
2022年04月29日,晴,多云,17.0,10.0,西南风 3-4级,西南风 3-4级
2022年04月30日,多云,晴,17.0,11.0,西北风 4-5级,西北风 4-5级
2022年05月01日,晴,晴,20.0,10.0,西北风 3-4级,西北风 3-4级
2022年05月02日,晴,晴,19.0,11.0,南风 4-5级,南风 4-5级
2022年05月03日,晴,晴,23.0,15.0,西南风 4-5级,西南风 4-5级
2022年05月04日,晴,晴,25.0,15.0,西南风 4-5级,西南风 4-5级
2022年05月05日,晴,多云,23.0,14.0,南风 4-5级,南风 4-5级
2022年05月06日,阵雨,多云,18.0,12.0,北风 4-5级,北风 4-5级
2022年05月07日,晴,多云,18.0,12.0,北风 4-5级,北风 4-5级
2022年05月08日,阵雨,多云,15.0,10.0,北风 3-4级,北风 3-4级
2022年05月09日,晴,多云,17.0,11.0,北风 3-4级,北风 3-4级
2022年05月10日,多云,阴,16.0,11.0,南风 3-4级,南风 3-4级
2022年05月11日,多云,阴,18.0,12.0,北风 3-4级,北风 3-4级
2022年05月12日,多云,多云,19.0,12.0,西北风 3-4级,西北风 3-4级
2022年05月13日,多云,晴,20.0,13.0,西风 4-5级,西风 4-5级
2022年05月14日,晴,晴,20.0,12.0,西北风 4-5级,西北风 4-5级
2022年05月15日,晴,晴,21.0,14.0,西南风 3-4级,西南风 3-4级
2022年05月16日,晴,晴,23.0,13.0,西风 3-4级,西风 3-4级
2022年05月17日,晴,多云,20.0,13.0,南风 3-4级,南风 3-4级
2022年05月18日,晴,晴,24.0,13.0,北风 3-4级,北风 3-4级
2022年05月19日,晴,多云,22.0,15.0,南风 3-4级,南风 3-4级
2022年05月20日,晴,晴,24.0,16.0,南风 3-4级,南风 3-4级
,,,,,,
2022年05月21日,晴,晴,25.0,18.0,西南风 4-5级,西南风 4-5级
2022年05月22日,晴,晴,28.0,16.0,西风 3-4级,西风 3-4级
2022年05月23日,晴,晴,29.0,18.0,西南风 4-5级,西南风 4-5级
2022年05月24日,晴,雷阵雨,28.0,15.0,南风 4-5级,南风 4-5级
2022年05月25日,多云,晴,23.0,15.0,北风 4-5级,北风 4-5级
2022年05月26日,多云,多云,25.0,16.0,西北风 4-5级,西北风 4-5级
2022年05月27日,晴,多云,26.0,18.0,西南风 4-5级,西南风 4-5级
2022年05月28日,晴,多云,28.0,18.0,西南风 4-5级,西南风 4-5级
2022年05月29日,雷阵雨,中雨,26.0,16.0,南风 4-5级,南风 4-5级
2022年05月30日,晴,晴,25.0,17.0,西北风 4-5级,西北风 4-5级
2022年05月31日,多云,雷阵雨,26.0,16.0,西南风 4-5级,西南风 4-5级
2022年06月01日,晴,晴,25.0,17.0,南风 3-4级,南风 3-4级
2022年06月02日,晴,多云,28.0,16.0,东南风 3-4级,东南风 3-4级
2022年06月03日,多云,多云,24.0,19.0,东南风 4-5级,东南风 4-5级
2022年06月04日,多云,阴,22.0,17.0,东南风 4-5级,东南风 4-5级
2022年06月05日,多云,阴,21.0,17.0,东南风 4-5级,东南风 4-5级
2022年06月06日,雷阵雨,阵雨,21.0,16.0,东北风 4-5级,东北风 4-5级
2022年06月07日,多云,多云,21.0,15.0,东北风 3-4级,东北风 3-4级
2022年06月08日,多云,多云,20.0,17.0,东风 3-4级,东风 3-4级
2022年06月09日,多云,小到中雨,22.0,18.0,东南风 4-5级,东南风 4-5级
2022年06月10日,雷阵雨,多云,22.0,17.0,东南风 4-5级,东南风 4-5级
2022年06月11日,多云,多云,23.0,18.0,东南风 4-5级,东南风 4-5级
2022年06月12日,雷阵雨,阴,23.0,18.0,南风 4-5级,南风 4-5级
2022年06月13日,雷阵雨,雷阵雨,23.0,18.0,东南风 4-5级,东南风 4-5级
2022年06月14日,中雨,中到大雨,21.0,17.0,东南风 4-5级,东南风 4-5级
2022年06月15日,阵雨,晴,21.0,17.0,东风 3-4级,东风 3-4级
2022年06月16日,晴,多云,26.0,19.0,南风 3-4级,南风 3-4级
2022年06月17日,多云,多云,23.0,19.0,东南风 4-5级,东南风 4-5级
2022年06月18日,阴,多云,23.0,19.0,东南风 4-5级,东南风 4-5级
2022年06月19日,多云,阴,24.0,19.0,东风 3-4级,东风 3-4级
2022年06月20日,多云,多云,25.0,20.0,东南风 3-4级,东南风 3-4级
,,,,,,
2022年06月21日,多云,多云,26.0,20.0,南风 3-4级,南风 3-4级
2022年06月22日,多云,中到大雨,25.0,20.0,东南风 4-5级,东南风 4-5级
2022年06月23日,雷阵雨,晴,27.0,21.0,西北风 4-5级,西北风 4-5级
2022年06月24日,晴,多云,30.0,22.0,西北风 4-5级,西北风 4-5级
2022年06月25日,多云,雷阵雨,30.0,20.0,西南风 4-5级,西南风 4-5级
2022年06月26日,多云,中到大雨,30.0,21.0,东风 4-5级,东风 4-5级
2022年06月27日,大到暴雨,小雨,26.0,21.0,东南风 5-6级,东南风 5-6级
2022年06月28日,阴,多云,27.0,21.0,北风 3-4级,北风 3-4级
2022年06月29日,多云,阵雨,27.0,21.0,西北风 3-4级,西北风 3-4级
2022年06月30日,多云,雷阵雨,26.0,21.0,东风 3-4级,东风 3-4级
2022年07月01日,多云,雷阵雨,26.0,21.0,南风 4-5级,南风 4-5级
2022年07月02日,阴,阴,27.0,22.0,南风 4-5级,南风 4-5级
2022年07月03日,多云,多云,26.0,22.0,东南风 3-4级,东南风 3-4级
2022年07月04日,多云,多云,26.0,22.0,东南风 3-4级,东南风 3-4级
2022年07月05日,多云,雷阵雨,27.0,22.0,东南风 3-4级,东南风 3-4级
2022年07月06日,大雨,暴雨,26.0,22.0,东南风 4-5级,东南风 4-5级
2022年07月07日,阵雨,多云,28.0,23.0,南风 4-5级,南风 4-5级
2022年07月08日,晴,多云,31.0,23.0,西南风 3-4级,西南风 3-4级
2022年07月09日,晴,晴,31.0,23.0,西南风 3-4级,西南风 3-4级
2022年07月10日,雷阵雨,多云,27.0,22.0,东风 3-4级,东风 3-4级
2022年07月11日,多云,多云,26.0,22.0,东风 3-4级,东风 3-4级
2022年07月12日,雷阵雨,大雨,26.0,22.0,东南风 4-5级,东南风 4-5级
2022年07月13日,阴,多云,28.0,22.0,北风 4-5级,北风 4-5级
2022年07月14日,晴,晴,29.0,22.0,南风 3-4级,南风 3-4级
2022年07月15日,晴,晴,30.0,23.0,西北风 4-5级,西北风 4-5级
2022年07月16日,晴,晴,30.0,23.0,北风 3-4级,北风 3-4级
2022年07月17日,多云,多云,30.0,23.0,南风 3-4级,南风 3-4级
2022年07月18日,多云,晴,30.0,23.0,西北风 3-4级,西北风 3-4级
2022年07月19日,晴,多云,31.0,23.0,西南风 3-4级,西南风 3-4级
2022年07月20日,阵雨,雷阵雨,29.0,22.0,西南风 3-4级,西南风 3-4级
,,,,,,
2022年07月21日,阵雨,多云,29.0,22.0,西风 3-4级,西风 3-4级
2022年07月22日,晴,雷阵雨,29.0,23.0,北风 3-4级,北风 3-4级
2022年07月23日,雷阵雨,多云,27.0,21.0,东南风 3-4级,东南风 3-4级
2022年07月24日,晴,晴,29.0,23.0,西南风 3-4级,西南风 3-4级
2022年07月25日,晴,晴,30.0,23.0,南风 3-4级,南风 3-4级
2022年07月26日,晴,晴,28.0,23.0,东南风 3-4级,东南风 3-4级
2022年07月27日,多云,多云,29.0,24.0,东南风 3-4级,东南风 3-4级
2022年07月28日,雷阵雨,小到中雨,28.0,24.0,东南风 4-5级,东南风 4-5级
2022年07月29日,中雨,小雨,28.0,24.0,南风 4-5级,南风 4-5级
2022年07月30日,阴,多云,29.0,24.0,东南风 3-4级,东南风 3-4级
2022年07月31日,多云,多云,28.0,24.0,东风 3-4级,东风 3-4级
2022年08月01日,多云,多云,30.0,25.0,东北风 3-4级,东北风 3-4级
2022年08月02日,多云,多云,31.0,26.0,北风 3-4级,北风 3-4级
2022年08月03日,晴,晴,32.0,26.0,西南风 3-4级,西南风 3-4级
2022年08月04日,多云,雷阵雨,32.0,26.0,西南风 3-4级,西南风 3-4级
2022年08月05日,多云,多云,31.0,25.0,西南风 3-4级,西南风 3-4级
2022年08月06日,多云,多云,31.0,25.0,南风 3-4级,南风 3-4级
2022年08月07日,中到大雨,小到中雨,29.0,24.0,西南风 4-5级,西南风 4-5级
2022年08月08日,多云,多云,30.0,23.0,东北风 4-5级,东北风 4-5级
2022年08月09日,小雨,多云,27.0,21.0,东北风 3-4级,东北风 3-4级
2022年08月10日,晴,多云,28.0,22.0,西南风 3-4级,西南风 3-4级
2022年08月11日,多云,晴,29.0,23.0,西南风 3-4级,西南风 3-4级
2022年08月12日,多云,雷阵雨,29.0,24.0,东南风 3-4级,东南风 3-4级
2022年08月13日,多云,多云,29.0,24.0,东风 3-4级,东风 3-4级
2022年08月14日,小到中雨,大雨,30.0,26.0,东南风 4-5级,东南风 4-5级
2022年08月15日,雷阵雨,晴,29.0,22.0,西北风 4-5级,西北风 4-5级
2022年08月16日,晴,多云,28.0,23.0,北风 4-5级,北风 4-5级
2022年08月17日,晴,晴,29.0,22.0,北风 3-4级,北风 3-4级
2022年08月18日,雷阵雨,大雨,28.0,24.0,南风 5-6级,南风 5-6级
2022年08月19日,多云,晴,30.0,22.0,西风 4-5级,西风 4-5级
2022年08月20日,晴,晴,28.0,20.0,北风 3-4级,北风 3-4级
,,,,,,
2022年08月21日,多云,中雨,28.0,23.0,南风 4-5级,南风 4-5级
2022年08月22日,中到大雨,多云,26.0,21.0,北风 4-5级,北风 4-5级
2022年08月23日,晴,晴,26.0,20.0,北风 4-5级,北风 4-5级
2022年08月24日,晴,多云,28.0,22.0,北风 3-4级,北风 3-4级
2022年08月25日,多云,晴,27.0,20.0,西风 4-5级,西风 4-5级
2022年08月26日,雷阵雨,晴,28.0,18.0,北风 4-5级,北风 4-5级
2022年08月27日,晴,晴,25.0,19.0,北风 4-5级,北风 4-5级
2022年08月28日,多云,阵雨,24.0,18.0,南风 3-4级,南风 3-4级
2022年08月29日,小雨,阴,23.0,18.0,南风 4-5级,南风 4-5级
2022年08月30日,多云,晴,24.0,19.0,东北风 3-4级,东北风 3-4级
2022年08月31日,晴,晴,26.0,18.0,西北风 4-5级,西北风 4-5级
2022年09月01日,晴,晴,25.0,16.0,北风 4-5级,北风 4-5级
2022年09月02日,晴,晴,26.0,18.0,东北风 3-4级,东北风 3-4级
2022年09月03日,多云,小雨,25.0,21.0,东风 4-5级,东风 4-5级
2022年09月04日,小到中雨,多云,25.0,18.0,东北风 4-5级,东北风 4-5级
2022年09月05日,雷阵雨,多云,25.0,17.0,北风 4-5级,北风 4-5级
2022年09月06日,晴,晴,26.0,19.0,西风 4-5级,西风 4-5级
2022年09月07日,晴,晴,28.0,20.0,西风 3-4级,西风 3-4级
2022年09月08日,晴,晴,28.0,19.0,西南风 3-4级,西南风 3-4级
2022年09月09日,晴,晴,27.0,20.0,南风 3-4级,南风 3-4级
2022年09月10日,多云,多云,27.0,20.0,东南风 3-4级,东南风 3-4级
2022年09月11日,晴,晴,25.0,20.0,东南风 3-4级,东南风 3-4级
2022年09月12日,晴,晴,26.0,19.0,东南风 3-4级,东南风 3-4级
2022年09月13日,晴,多云,27.0,20.0,东北风 4-5级,东北风 4-5级
2022年09月14日,小到中雨,大雨,25.0,19.0,东风 4-5级,东风 4-5级
2022年09月15日,暴雨,暴雨,23.0,20.0,东风 5-6级,东风 5-6级
2022年09月16日,暴雨,多云,23.0,18.0,北风 5-6级,北风 5-6级
2022年09月17日,晴,晴,26.0,21.0,西南风 4-5级,西南风 4-5级
2022年09月18日,晴,晴,26.0,17.0,北风 5-6级,北风 5-6级
2022年09月19日,晴,晴,21.0,14.0,北风 5-6级,北风 5-6级
2022年09月20日,晴,晴,21.0,14.0,北风 4-5级,北风 4-5级
,,,,,,
2022年09月21日,晴,多云,23.0,18.0,南风 4-5级,南风 4-5级
2022年09月22日,雷阵雨,雷阵雨,23.0,12.0,西南风 5-6级,西南风 5-6级
2022年09月23日,多云,晴,21.0,15.0,西北风 5-6级,西北风 5-6级
2022年09月24日,晴,晴,23.0,18.0,西风 3-4级,西风 3-4级
2022年09月25日,晴,晴,23.0,18.0,西南风 4-5级,西南风 4-5级
2022年09月26日,晴,晴,24.0,17.0,西南风 3-4级,西南风 3-4级
2022年09月27日,晴,晴,24.0,17.0,南风 3-4级,南风 3-4级
2022年09月28日,晴,晴,23.0,18.0,南风 3-4级,南风 3-4级
2022年09月29日,晴,晴,24.0,19.0,南风 3-4级,南风 3-4级
2022年09月30日,晴,晴,25.0,19.0,南风 3-4级,南风 3-4级
2022年10月01日,多云,阵雨,23.0,17.0,南风 4-5级,南风 4-5级
2022年10月02日,小到中雨,多云,21.0,16.0,东风 4-5级,东风 4-5级
2022年10月03日,小到中雨,阴,20.0,9.0,北风 5-6级,北风 5-6级
2022年10月04日,晴,晴,12.0,8.0,北风 6-7级,北风 6-7级
2022年10月05日,晴,多云,13.0,9.0,北风 4-5级,北风 4-5级
2022年10月06日,多云,晴,16.0,11.0,西风 3-4级,西风 3-4级
2022年10月07日,晴,晴,18.0,13.0,西南风 3-4级,西南风 3-4级
2022年10月08日,多云,中到大雨,19.0,13.0,南风 4-5级,南风 4-5级
2022年10月09日,中雨,雷阵雨,15.0,7.0,西北风 5-6级,西北风 5-6级
2022年10月10日,阴,晴,13.0,8.0,西北风 5-6级,西北风 5-6级
2022年10月11日,晴,晴,17.0,11.0,西北风 3-4级,西北风 3-4级
2022年10月12日,晴,多云,18.0,13.0,西南风 3-4级,西南风 3-4级
2022年10月13日,多云,多云,18.0,13.0,西南风 3-4级,西南风 3-4级
2022年10月14日,多云,多云,18.0,12.0,西南风 3-4级,西南风 3-4级
2022年10月15日,多云,阴,19.0,11.0,西南风 3-4级,西南风 3-4级
2022年10月16日,多云,晴,14.0,9.0,北风 4-5级,北风 4-5级
2022年10月17日,晴,晴,13.0,7.0,西北风 4-5级,西北风 4-5级
2022年10月18日,晴,晴,15.0,10.0,西北风 3-4级,西北风 3-4级
2022年10月19日,晴,晴,18.0,13.0,西南风 4-5级,西南风 4-5级
2022年10月20日,多云,多云,17.0,14.0,西南风 4-5级,西南风 4-5级
,,,,,,
2022年10月21日,晴,多云,19.0,13.0,西南风 4-5级,西南风 4-5级
2022年10月22日,晴,晴,17.0,9.0,北风 4-5级,北风 4-5级
2022年10月23日,多云,晴,18.0,8.0,北风 4-5级,北风 4-5级
2022年10月24日,晴,晴,16.0,11.0,南风 4-5级,南风 4-5级
2022年10月25日,晴,多云,18.0,14.0,南风 4-5级,南风 4-5级
2022年10月26日,阴,阴,17.0,9.0,南风 4-5级,南风 4-5级
2022年10月27日,晴,晴,14.0,6.0,北风 4-5级,北风 4-5级
2022年10月28日,晴,晴,12.0,6.0,北风 4-5级,北风 4-5级
2022年10月29日,晴,晴,13.0,7.0,北风 3-4级,北风 3-4级
2022年10月30日,多云,阵雨,15.0,11.0,南风 3-4级,南风 3-4级
2022年10月31日,阴,晴,16.0,8.0,西南风 4-5级,西南风 4-5级
2022年11月01日,晴,晴,12.0,6.0,北风 4-5级,北风 4-5级
2022年11月02日,小雨,小到中雨,13.0,2.0,南风 4-5级,南风 4-5级
2022年11月03日,多云,晴,7.0,3.0,北风 4-5级,北风 4-5级
2022年11月04日,晴,晴,11.0,6.0,西北风 4-5级,西北风 4-5级
2022年11月05日,晴,晴,14.0,8.0,西风 4-5级,西风 4-5级
2022年11月06日,阴,小雨,16.0,10.0,西南风 4-5级,西南风 4-5级
2022年11月07日,多云,晴,16.0,6.0,北风 3-4级,北风 3-4级
2022年11月08日,晴,多云,15.0,9.0,西南风 3-4级,西南风 3-4级
2022年11月09日,多云,阵雨,16.0,12.0,西南风 3-4级,南风 3-4级
2022年11月10日,阵雨,多云,16.0,14.0,东南风 3-4级,南风 3-4级
2022年11月11日,阴,小雨,16.0,14.0,南风 3-4级,南风 4-5级
2022年11月12日,中雨,多云,16.0,2.0,北风 6-7级,北风 5-6级
2022年11月13日,晴,多云,6.0,2.0,北风 5-6级,西北风 4-5级
2022年11月14日,晴,晴,12.0,7.0,西风 4-5级,西风 4-5级
2022年11月15日,晴,晴,13.0,5.0,西北风 3-4级,西风 3-4级
2022年11月16日,晴,晴,14.0,9.0,西南风 3-4级,西南风 4-5级
2022年11月17日,晴,多云,16.0,8.0,西南风 3-4级,西南风 3-4级
2022年11月18日,多云,多云,13.0,9.0,东风 3-4级,南风 3-4级
2022年11月19日,多云,多云,15.0,8.0,西南风 3-4级,东北风 3-4级
2022年11月20日,多云,多云,12.0,6.0,东北风 3-4级,东北风 4-5级
,,,,,,
2022年11月21日,多云,晴,10.0,3.0,东北风 4-5级,东北风 4-5级
2022年11月22日,多云,多云,8.0,4.0,北风 3-4级,西风 3-4级
2022年11月23日,晴,多云,13.0,7.0,西风 3-4级,南风 3-4级
2022年11月24日,多云,多云,15.0,11.0,西南风 4-5级,西南风 4-5级
2022年11月25日,阴,晴,16.0,2.0,西南风 4-5级,西北风 4-5级
2022年11月26日,晴,多云,10.0,1.0,北风 4-5级,南风 4-5级
2022年11月27日,小到中雨,中到大雨,13.0,9.0,南风 4-5级,南风 4-5级
2022年11月28日,小雨,多云,12.0,-3.0,北风 4-5级,北风 5-6级
2022年11月29日,阴,阵雪,-2.0,-7.0,北风 5-6级,北风 5-6级
2022年11月30日,阵雪,多云,-1.0,-9.0,西北风 4-5级,西北风 4-5级
2022年12月01日,多云,多云,0.0,-3.0,西北风 4-5级,西风 4-5级
2022年12月02日,多云,多云,5.0,-1.0,西南风 4-5级,北风 4-5级
2022年12月03日,多云,多云,0.0,-6.0,北风 4-5级,北风 4-5级
2022年12月04日,晴,晴,1.0,-6.0,北风 3-4级,西北风 3-4级
2022年12月05日,晴,晴,4.0,0.0,西风 4-5级,西风 4-5级
2022年12月06日,晴,晴,5.0,2.0,西北风 4-5级,西北风 4-5级
2022年12月07日,晴,晴,6.0,2.0,西北风 4-5级,西风 3-4级
2022年12月08日,晴,晴,9.0,1.0,东风 3-4级,北风 3-4级
2022年12月09日,多云,阵雪,7.0,0.0,北风 3-4级,北风 4-5级
2022年12月10日,中到大雪,晴,2.0,-3.0,北风 4-5级,北风 4-5级
2022年12月11日,多云,多云,4.0,-3.0,北风 3-4级,西南风 4-5级
2022年12月12日,多云,晴,5.0,-1.0,西北风 4-5级,西北风 4-5级
